159.5	51.45	15	1.1	-0.3	-0.8	1.05	1.24	-0.56	25
150.79	45.03	34	4.73	-1.2	-3.54	1.32	1.99	-1.98	23
155.19	49.73	128	-0.74	0.69	0.05	-0.77	-1.06	-0.01	24
151.19	46.38	157	-1.43	-0.32	1.75	-3.75	-4.79	-2.44	24
154.25	46.77	17	3.03	-1.23	-1.8	2.52	0.72	-1.26	24
155.82	51.04	213	-1.52	0.05	1.47	-2.82	-2.19	0.69	25
154.1	46.93	29	6.86	-1.59	-5.27	1.21	3.61	-3.42	24
154.49	47	36	4.1	-1.11	-2.99	1.09	1.37	-2.1	24
159.97	53.34	94	5.9	-0.3	-5.6	-2.51	-8.96	-3.21	23
154.47	47.44	29	1.79	-0.39	-1.4	0.65	0.78	-1.06	24
153.75	46.02	34	1.19	-0.5	-0.69	0.07	0.29	-0.61	25
153.12	47.29	119	-0.4	2.15	-1.74	0.43	3.32	-5.23	24
153.12	47.81	159	-1.6	0.48	1.12	-2.22	-3.65	-0.06	24
152.26	46.55	41	3.01	-1.2	-1.81	-1.79	-2.99	-1.8	24
149.57	45.65	159	0.51	0.49	-1	0.72	0.26	-0.18	24
155.89	48.75	58	5.79	-2.11	-3.68	0.43	3.77	-3.07	23
155.32	48.4	40	1.38	-0.31	-1.06	0.4	0.5	-0.75	25
151.92	46.51	79	0.11	-0.28	0.17	-0.42	-1.5	-0.92	24
158.14	50.75	35	2.49	-1.4	-1.1	1.07	0.78	-1.53	24
149.01	47.98	402	0.86	1.17	-2.02	-0.23	-5.71	2.66	25
150.18	48.27	344	-2.69	1.06	1.63	-1.45	-2.88	1.22	23
156.32	49.66	78	-2.58	2.36	0.22	3.43	2.34	0.15	24
154.76	48.94	118	-0.83	1.58	-0.75	-7.84	-7.89	-4.21	23
154.78	48.05	47	1.18	-0.26	-0.92	0.07	0.25	-0.64	25
151.52	46.06	99	0.08	-0.89	0.81	0.51	0.76	1.68	24
156.28	50	140	0.57	-0.13	-0.44	1.02	1.13	-0.43	24
146.3	47.78	15	1.78	-1.51	-0.28	0.01	-0.03	0.58	24
159.08	50.86	39	0.83	0.2	-1.03	0.05	1.33	-0.25	24
150.36	45.14	20	1.42	-0.71	-0.7	0.26	0.98	-0.7	25
148.63	50.38	588	-0.31	-0.52	0.82	-1.51	-3.12	-0.15	24
159.89	50.1	15	-5.05	2.36	2.69	1.09	1.98	2.36	24
148.15	46.48	271	2.32	0.82	-3.14	3.47	-1.41	3.31	23
152.72	47.15	132	-0.8	-1.29	2.09	6.96	1.09	-4.91	23
142.41	49.48	15	1.91	0.34	-2.25	-0.93	-0.66	0.61	24
158.01	51.89	127	0.69	0.64	-1.34	-1.65	-3.13	-2.72	24
151.9	52.38	549	-3.55	1.56	1.99	-1.71	-8.42	2.4	24
157.51	50.73	122	-1.2	3.34	-2.15	-2.25	-3.32	-1.54	24
150.27	51.49	569	-1.04	0.39	0.65	0.75	-1.4	-0.24	24
145.95	48.14	485	1.61	0.25	-1.86	-0.12	-1.55	0.1	24
151.69	46.01	43	1.82	-0.75	-1.07	0.75	1.23	-0.82	26
146.48	48.24	517	2.65	0.52	-3.17	-1.31	-3.2	1.61	24
156.36	49.57	41	1.53	-0.53	-1	0.36	0.81	-0.83	24
152.23	45.6	15	0.1	1.81	-1.91	0.56	-0.18	0.99	24
156.14	48.96	15	2.1	-0.3	-1.8	1.03	1.68	-1.12	24
156.73	49.02	38	5.95	0.63	-6.59	2.96	2.15	-3.59	23
150.01	45.13	39	4.21	-1.25	-2.96	-0.22	2.56	-2.13	24
157.79	50.84	50	2.81	-0.79	-2.02	0.43	0.94	-1.4	24
152.31	46.29	38	1.16	-0.63	-0.54	0.05	0.58	-0.49	24
157.99	48.46	20	1.05	-0.78	-0.27	-0.14	-0.09	-0.7	25
156.92	51.39	112	-1.02	0.09	0.93	-0.09	0.96	-0.53	24
155	48.6	58	7.97	0.12	-8.09	0.12	1.64	-4.44	23
147.85	49.15	554	-5.33	-4.62	9.95	-1.84	-8.82	-6.85	23
155.66	48.61	27	3.79	-0.58	-3.21	2.43	1.9	-2.56	24
142.57	45.62	329	0.74	0.53	-1.26	0.83	-0.77	-0.88	24
156.07	50.91	137	0.07	-0.11	0.04	0.79	1.48	-0.53	24
158.89	50.04	10	-0.77	1.04	-0.27	0.12	0.29	0.32	24
152.06	47.12	66	-9.59	2.2	7.39	9.12	3.11	4.35	23
155.8	49.39	53	1.18	-0.31	-0.86	0.34	0.42	-0.63	24
158.74	52.77	110	-0.72	0.51	0.21	-1.9	-1.62	0.34	24
147.01	50.22	628	9.15	0.43	-9.58	1.4	-9.35	1.65	24
155.73	48.87	45	2.8	-0.96	-1.84	1.2	1.99	-1.28	25
140.84	51.6	15	2.66	-0.07	-2.59	-2.11	2.61	2.6	23
155.86	49.02	52	5.55	-1.7	-3.84	1.84	2.92	-2.33	25
157.07	51.13	101	0.86	-0.51	-0.34	-0.13	-1.24	0.09	24
156.41	49.19	41	8.81	-2.81	-6	4.37	5.5	-4.84	23
153.99	46.19	10	1.43	-0.63	-0.8	1.1	0.77	-0.87	25
153.62	46.16	16	2.64	-0.76	-1.88	0.85	2.11	-1.44	24
153.87	46.36	15	1.14	-0.32	-0.82	0.17	0.38	-0.68	24
155.35	49.08	41	1.25	-0.49	-0.76	0.43	0.45	-0.82	24
150.68	45.13	39	6.71	-3.4	-3.3	2.91	5.69	-4.29	23
159.86	52.06	34	1.05	-0.27	-0.78	0.44	0.79	-0.58	24
147.54	45	93	0.53	3.48	-4.02	0.34	1.6	0.2	23
158.46	53.81	177	0.1	0.39	-0.49	-1.42	-1.82	0.04	25
153.71	45.17	35	0.98	-0.76	-0.22	-0.81	-1.19	-0.44	24
151.72	46.21	98	0	-0.23	0.24	-0.12	-1.13	0.57	24
150.08	45.61	28	0.62	0.94	-1.56	-3.12	-2.08	0.02	24
153.01	47.57	134	2.06	-1.23	-0.82	8.09	9.64	-0.83	23
151.85	45.15	30	4.58	-1.5	-3.08	4.42	2.25	-2.93	24
151.12	45.55	13	3.65	-2.47	-1.18	4.11	3.9	-2.18	24
155.85	49.62	35	8.24	-3.32	-4.92	5.16	3.91	-3.38	23
146.31	49.1	581	0.54	-0.82	0.28	-2.73	-2.2	-0.34	25
155.8	49.09	48	6.47	-3.19	-3.28	2.04	1.5	-3.96	24
148.77	50.19	593	-1.5	1.31	0.19	-2.08	-1.28	0.53	25
146.56	47.49	417	5.49	0.39	-5.88	0.38	-1.45	-1.3	25
154.32	51	308	-4.47	0.98	3.49	-1.35	0.6	2.32	23
159.52	53.6	115	-0.31	-2.6	2.92	-4.5	-5.53	-0.19	23
150.61	51.2	506	0.29	-3.87	3.58	-2.41	-4.99	-4.27	23
153.08	49.23	154	-4.41	-0.38	4.8	-2.96	-3.6	1.01	23
152.65	46.4	28	0.62	-0.62	0	1.89	-0.69	-0.27	24
154.85	48.39	32	2.97	-0.94	-2.02	1.37	1.48	-1.84	24
154.74	47.52	42	1.39	-3.46	2.08	2.21	1.21	-2.93	24
142.79	50.17	38	6.91	-0.66	-6.25	0.35	1.39	0.63	23
143.06	45.56	332	3.05	5.83	-8.88	5.23	-3.43	-2.02	23
149.74	46.2	12	5.57	-4.35	-1.22	0.09	-3.23	-4.36	23
153.84	47.27	28	3.08	-0.99	-2.09	1.43	3.19	-1.24	23
145.57	47.31	429	2.33	1.06	-3.39	-6.42	-8.53	4.34	23
159.21	51.58	40	2.3	-0.92	-1.37	0.92	0.88	-1.47	24
159.14	50.03	51	1.31	0.13	-1.44	-0.6	-0.44	-0.6	24
159.85	52.07	36	3.64	-0.4	-3.25	2.08	2.92	-1.71	24
156.36	48.69	10	2.25	-0.95	-1.3	1.78	2.48	-1.27	25
153.96	48.76	151	-1.2	0.32	0.88	1.96	1.17	0.54	24
159.29	53.61	135	1.13	-0.58	-0.55	-3.92	-8.65	-2.54	23
152.96	46.21	10	1.08	-0.5	-0.58	0.09	1.02	-0.78	24
